Measure Name,Measure Abbreviation (if provided),Your Name,Timestamp,Reference (APA Style),Measure Details (description),"Year (enter a number such as ""2023""; year refers to year of publication of the paper)",Link to Paper,Link to Measure/Items,Items (copy paste the actual item set),Length (duration in seconds),Length (number of items),Population (2-letter country ISO code),Language (2-letter language ISO code),Validated (any type of validation of the measure),"Objective (i.e., performance test with clear correct and wrong responses, or the mapping of actual behaviour, etc., not self-report)","Specific (i.e., tailored, not a broad measure of resilience but on a specific technique or topic, for example the topic of the intervention in the study)",Online (is the measure administered online),"Long-Term Malleability (is there evidence that the score can change when measured weeks or months later)

Note: if the study did not look at this, please put NA","Short-Term Malleability (is there evidence that the score can change immediately after an intervention, or a couple of days after the initial measure)

Note: if the study did not look at this, please put NA",Skill (see high-level overview of resilience),"Attitudes, Norms, & Beliefs (see high-level overview of resilience)",Knowledge (see high-level overview of resilience),Behavioral Correlate (see high-level overview of resilience),Identity Risk Factor (see high-level overview of resilience),"Stimuli Type (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Origin (see high-level overview of resilience; this refers to how the stimuli was created or collected)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Source (see high-level overview of resilience; this refers to whether the stimuli itself includes any source information, for example if the stimuli is a social media post whether this has been posted or written by an individual and this source information is included in the stimuli)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Characteristics (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Platform (see high-level overview of resilience; this refers to the format of the stimuli and what type of platform the stimuli resemble)

Note: this may not be relevant for self-report scales, in that case, put NA",Response Option (see high-level overview of resilience),Component Type (see high-level overview of resilience),Behavior Type (see high-level overview of resilience),Risk Type (see high-level overview of resilience),Any comments?,Link to Original Measure Paper (if the measure used in the paper is based on a measure from a different paper),If this variable is a Key Correlate variable (see intervention scoring sheet); indicate which one,Does paper include a scale/measure?,Language (2-letter language ISO code)
Anti-vaccination claim discernment task,NA,April Hwang,07/07/2023 19:22:11,"Stecula, D. A., Kuru, O., & Jamieson, K. H. (2020). How trust in experts and media use affect acceptance of common anti-vaccination claims. Harvard Kennedy School Misinformation Review, 1(1) https://doi.org/10.37016/mr-2020-007",Assess belief in false information regarding measles vaccines,2020,https://doi.org/10.37016/mr-2020-007,https://doi.org/10.37016/mr-2020-007,"Vaccines given to children for diseases like measles, mumps, and rubella can cause neurological disorders like autism. Vaccines in general are full of toxins and harmful ingredients like “antifreeze.” It makes no difference if parents choose to delay or spread out vaccines instead of relying on the official CDC vaccine schedule. It is better to develop natural immunity by getting the disease than by receiving the vaccine",NA,4,US,EN,No,Yes,Yes,Yes,NA,NA,No,Yes,No,No,No,Text,Real,NoSource,Message,NoPlatform,Scale,Trust,Reaction,,,https://doi.org/10.37016/mr-2020-007,NA,Yes,
Attitudinal Congruence,NA,Christiane,05/06/2023 17:34:27,"Morosoli, S., Van Aelst, P., Humprecht, E., Staender, A., & Esser, F. (2022). Identifying the Drivers Behind the Dissemination of Online Misinformation: A Study on Political Attitudes and Individual Characteristics in the Context of Engaging With Misinformation on Social Media.",Measured agreement with statements about three issues corresponding to topics in the fake news headlines also used in study.,2022,https://doi.org/10.1177/00027642221118300,(Appendix C) https://files.designer.hoststar.ch/6b/89/6b8986ac-8b65-4ff7-a6f2-87726d16f0d1.pdf," COVID-19. The weak response of the Chinese authorities has caused the coronavirus to become a worldwide pandemic. Climate Change Now we would like to know more about your opinion on climate change. Please indicate to what extent you agree with the following statements. Climate change is too complex and uncertain for scientists to make useful forecasts. In general, I support the actions of climate protesters. The media is often too alarmist about issues like climate change. I believe climate change is a real problem. Immigration Now we would like to know more about your opinion on immigration. Please indicate to what extent you agree with the following statements. Immigration to the U.S. should be restricted. Immigrants contribute to the welfare of the U.S. The social services in the U.S. are burdened by immigrants. Immigrants are entitled to social support.",NA,9,CH BE FR DE GB US,de nl fr de en en,No,No,Yes,NA,NA,NA,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,ThinkingStyle,,NA,Myside Bias,Yes,
Belief and dissemination ,N/A,Martina,11/05/2023 09:47:12,"Sternisko, A., Cichocka, A., Cislak, A., & Van Bavel, J. J. (2023). National Narcissism predicts the Belief in and the Dissemination of Conspiracy Theories During the COVID-19 Pandemic: Evidence From 56 Countries. Personality and Social Psychology Bulletin, 49(1), 48–65. https://doi.org/10.1177/01461672211054947", social identity factors in the spread of conspiracy theories,2021,https://journals.sagepub.com/doi/10.1177/01461672211054947,N/A,"study1: 1. Belief COVID-19 conspiracy theories, 2. Dissemination COVID-19 conspiracy theories, 3. National narcissism, 4. National identification, 5. Belief other conspiracy theories, 6. Dissemination other conspiracy theories, 7. Reflexive open-mindedness, , 8. Political ideology. Study 2: 1. Belief COVID-19 conspiracy theories, 2. Dissemination COVID-19 conspiracy theories, 3. Policy support, 4. National narcissism, 5. National identification, 6. Knowledge fact 1, 7. Knowledge fact 2, 8. Knowledge fact 3, 9. Dissemination fact 1, 10. Dissemination fact 2, 11. Dissemination fact 3, 12. Political ideology ",N/A,"National narcissism - 3 items. eight conspiracy theories, National identification = 1-item","US and UK, secondary analysis = 56 countries",EN,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Text,Real,Mixed,Post_Article,NA,Behavior,Belief,Sharing,Identity,,,,,
Belief in Conspiracy Theories,NA,Christiane,05/06/2023 19:58:43,"De Coninck, D., Frissen, T., Matthijs, K., d’Haenens, L., Lits, G., Champagne-Poirier, O., Carignan, M.-E., David, M. D., Pignard-Cheynel, N., Salerno, S., & Généreux, M. (2021). Beliefs in Conspiracy Theories and Misinformation About COVID-19: Comparative Perspectives on the Role of Anxiety, Depression and Exposure to and Trust in Information Sources.",Specifically beliefs in COVID-19 conspiracy theories,2021,https://doi.org/10.3389/fpsyg.2021.646394,"(Supplementary Material, Appendix B) https://www.frontiersin.org/articles/10.3389/fpsyg.2021.646394/full#S11",To what extent do you agree with the following statements regarding the coronavirus crisis? 1. I believe that my government is hiding important information about the coronavirus.  2. I believe that the pharmaceutical industry is involved in the spread of the coronavirus. 3. I believe that the medication already exists to prevent or treat the coronavirus. 4. I believe the coronavirus was made intentionally in a laboratory. 5. I believe the coronavirus was made by mistake in a laboratory. 6. I believe there is a link between 5G technology and the coronavirus.,NA,6,BE CA GB HK NZ PH CH US,en nl zh fil fr it de,Yes,No,Yes,Yes,NA,NA,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,ThinkingStyle,,https://www.jean-jaures.org/publication/lepidemie-dans-lepidemie-theses-complotistes-et-covid-19/,NA,Yes,
Belief in Conspiracy Theories Inventory,BCTI,Christiane,10/05/2023 22:20:16,"Bowes, S. M., & Tasimi, A. (2022). Clarifying the relations between intellectual humility and pseudoscience beliefs, conspiratorial ideation, and susceptibility to fake news. Journal of Research in Personality, 98, 104220. https://doi.org/10.1016/j.jrp.2022.104220",Inventory of belief in specific conspiracy theories,2022,https://doi.org/10.1016/j.jrp.2022.104220,https://doi.org/10.1111/j.2044-8295.2010.02004.x,"9. The bombers (two recent fathers, a university graduate, and a teacher of disabled children) do not fit the usual suicide bomber profile, suggesting they were not the real 7/7 bombers. 10. The images of the 7/7 bombers on the days of the bombing have been cropped and altered, suggesting that the story put out by the police is false. 11. The initial reporting, by the police, of the bombings as simultaneous ‘power surges’ suggests that they are covering up the real cause of the 7/7 bombings.  8. Several eyewitness accounts of the explosions on the underground speak of explosions under the floor of the train, indicating the bombs were planted and were not contained in backpacks. 12. British intelligence purposely failed to act on knowledge of the bomb plot in order to ferment anti-Muslim feeling.  4. The UK government allowed the 7/7 bombings to take place so that it would have an excuse to achieve foreign (e.g., extend wars in Afghanistan and Iraq) and domestic (e.g., attacks on civil liberties) goals that had been determined prior to the attacks.  7. The UK government allowed the 7/7 bombings to take place in order to rally the country around Tony Blair's faltering leadership.  3. The fact that the 7/7 bombers purchased return tickets and paid to park their cars at Luton suggests that the bombings were not planned as a suicide attack.  5. British government agencies, including the military and intelligence, dealt incompetently with the 7/7 bombings and sought to cover up its failures.  6. The fact that the UK government is withholding information about the 7/7 bombings is evidence of a cover-up.  1. British intelligence had knowledge of the 7/7 bomb plot as they had at least one of the bombers under their surveillance.  2. The 7/7 bombers were duped by British intelligence: they believed they were carrying dummy bombs and were participating in a training exercise testing London's defences against backpack bombers.",NA,15,NA,en,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,ThinkingStyle,,,,,
Belief in Conspiracy Theories Inventory,BCTI,Christiane,30/07/2023 20:54:32,"Swami, V., Voracek, M., Stieger, S., Tran, U. S., & Furnham, A. (2014). Analytic thinking reduces belief in conspiracy theories. Cognition, 133(3), 572-585.",Measure of general conspiracist ideation,2014,https://doi.org/10.1016/j.cognition.2014.08.006,"(Under ""Measures"") https://doi.org/10.1002/acp.1583","(10) The World Trade Centre towers were brought down by a controlled demolition (2) The World Trade Centre was destroyed, not by planes that crashed into it, nor by the fires that followed, but by explosives or other devices planted in the building (8) If aircraft struck the Pentagon and the World Trade Centres, they were probably controlled by the US military (13) Because successful air-ground connections are near impossible, mobile phone calls from passengers on allegedly hijacked planes were likely fabrications or never made at all (11) Intact windows at the Pentagon and a lack of debris prove that the Pentagon was not hit by an aircraft (3) The Pentagon was not hit by a passenger aircraft but something smaller, possibly a missile (14) Government and military exercises (or ‘war games’) were intentionally held on September 11, 2001 to deliberately confuse military personnel and therefore to allow the attacks to take place (12) United Airlines Flight 93, which is said to have crashed in Pennsylvania, was actually downed by the US military (9) The US military were ordered to ‘stand down’ (that is, not to respond) prior to the 9/11 attacks so as to allow the attacks to occur (17) Reports that some of the 9/11 plane hijackers are still alive prove that others were responsible for the attacks (7) The fact that the US government is withholding information about the 9/11 attacks is evidence of a cover-up (16) Officials investigating the 9/11 attacks have sought to suppress the emergence of evidence that might contradict the ‘official account’ (6) Because they had foreknowledge of the attacks, a number of individuals and/or companies were able to make a profit by selling shares in trades likely to be affected the attacks (e.g. airline companies) (1) Individuals within the US government knew of the impending attacks and purposely failed to act on that knowledge (5) The US government agencies, including the military and intelligence, dealt incompetently with the 9/11 attacks and sought to cover up its failures (4) The US government allowed the 9/11 attacks to take place so that it would have an excuse to achieve foreign (e.g. wars in Afghanistan and Iraq) and domestic (e.g. attacks on civil liberties) goals that had been determined prior to the attacks (15) The fact that neither George W. Bush nor his security personnel responded to the 9/11 attacks in a manner that indicated the President might be in danger is proof that they had privileged access to the planning and execution of the attacks",NA,15,UK,en,Yes,No,No,No,NA,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,Scale,Belief,NA,,,https://doi.org/10.1002/acp.1583,NA,Yes,
Belief in COVID-19 Conspiracy Theories,NA,Christiane,04/06/2023 21:56:08,"Kantorowicz-Reznichenko, E., Folmer, C. R., & Kantorowicz, J. (2022). Don’t believe it! A global perspective on cognitive reflection and conspiracy theories about COVID-19 pandemic. Personality and Individual Differences, 194, 111666. https://doi.org/10.1016/j.paid.2022.111666",Degree of belief in 5 different COVID-19 related conspiracies; higher score indicating greater degree of belief,2022,https://doi.org/10.1016/j.paid.2022.111666,"(Word Document, Variable 2) https://ars.els-cdn.com/content/image/1-s2.0-S0191886922001702-mmc1.docx ","For each of the following statements, please select the answer that best describes whether you agree or disagree.” [0-10 scale where 0=strongly disagree, 10=strongly agree].  The coronavirus (COVID-19) is a bioweapon engineered by scientists.          The coronavirus (COVID-19) is a conspiracy to take away citizen’s rights for good and estab-lish an authoritarian government.          The coronavirus (COVID-19) is a hoax invented by interest groups for financial gains. The coronavirus (COVID-19) was created as a cover up for the impending global economic crash.",NA,5,AR; AU; AT; BE; BG; BR; CA; CH; CN; CO; DE; DK; ES; FI; FR; GB; GR; HR; HU; IN; IE; IQ; IL; IT; JP; KR; LV; MA; MX; NG; NL; NO; NZ; PH; PL; RO; RU; SG; RS; SK; SE; TR; TW; UK; US,NA,No,No,Yes,Yes,NA,NA,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,ThinkingStyle,"No study 1 vs. 2 vs. 3, etc., just one study with a lot of countries; Most countries used the same, English version of the survey, but some translated - unclear which.",NA,NA,Yes,
Belief in News Inventory,BNI,April Hwang,17/08/2023 14:55:25,"Anthony, A., & Moulding, R. (2019). Breaking the news: Belief in fake news and conspiracist beliefs. Australian Journal of Psychology, 71(2), 154-162. https://doi.org/10.1111/ajpy.12233","Common “fake news” items were sourced for the two presidential candidates Trump and Clinton. Additionally, fictitious conspiratorial news items were invented for both candidates. Participants rated items as to what extent they think they are true or false on a 9‐point scale",2019,https://doi.org/10.1111/ajpy.12233,https://doi.org/10.1111/ajpy.12233,"Please see Supplemental material Appendix S1 Beliefs in News Inventory (blue box at the bottom of https://doi.org/10.1111/ajpy.12233); unable to copy paste, lengthy",NA,30,US,EN,No,Yes,Yes,Yes,NA,NA,Yes,No,No,No,Yes,Text,Lab,NoSource,Message,NoPlatform,Scale,DiscManipulativeness,NA,,,NA,Receptiveness to Opposing Views,Yes,
Belief Updating,NA,Christiane,05/06/2023 14:19:11,"Sinclair, A. H., Stanley, M. L., & Seli, P. (2020). Closed-minded cognition: Right-wing authoritarianism is negatively related to belief updating following prediction error. Psychonomic Bulletin & Review, 27(6), 1348–1361.","3 phases. (1) Feedback learning: Participants respond with T/F + confidence in choice on 120 trivia questions (80 commonly belied myths + 40 general knowledge Qs), then received feedback on answer. (2) after personality measures, retook 60 trivia Qs without feedback. (3) One week later, retook other 60 Qs without feedback.",2020,https://doi.org/10.3758/s13423-020-01767-y,https://static-content.springer.com/esm/art%3A10.3758%2Fs13423-020-01767-y/MediaObjects/13423_2020_1767_MOESM1_ESM.pdf,"You must wait 24 hours before filing a missing persons report with the police. Gum remains in the stomach for 7 years before being fully digested. Thomas Edison invented the lightbulb. During the Salem Witch Trials, alleged witches were burned at the stake. Eating before swimming increases the risk of cramps. Adding salt to a pot of water makes it boil faster. The Great Wall of China is visible from space. Alcohol kills brain cells. Different parts of your tongue are specialized for different tastes (sweet, salty, bitter, etc.) Humans only use approximately 10% of their brains. Most body heat is lost through the top of the head. Waking a sleepwalker is bad for their health. Bananas grow on palm trees. Milk increases mucus. Bats use echolocation because they are blind. Goldfish have a memory span of 3-seconds. Shaving hair makes it grow back thicker and darker. Vikings wore horned helmets. Drinking alcohol warms up your body. Bulls get aggressive when they see the color red. Hair and fingernails continue growing after death. Adding oil to pasta prevents it from sticking together. On average, a person swallows 8 spiders per year in their sleep. From base to peak, Everest is the tallest mountain in the world. When the Pilgrims arrived in America, they first landed at Plymouth Rock. Historically, ninjas wore all-black uniforms. Lightning never strikes the same place twice. Meteors catch fire because of the friction from entering Earth’s atmosphere. A penny dropped from the top of a skyscraper could kill a person below. The North Star is the brightest star in the sky. Personalities are influenced by whether a person left-brain or right-brain dominant. Daddy long-legs spiders have deadly venom, but their fangs are too short to pierce human skin. De-oxygenated blood in your veins is blue. Dogs see in black-and-white. Camels store water in their humps. Cracking your knuckles increases the risk of arthritis. Dogs drool instead of sweating. Answer FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE     Supplemental Material: RWA IS NEGATIVELY RELATED TO BELIEF UPDATING 2 Albert Einstein failed math in grade school. Caffeine dehydrates the body. Coffee is made from beans. Chameleons change color to match the object or surface they are touching. Sugar consumption is linked to hyperactivity in children. Over time, radiation from microwave ovens can increase the risk of cancer. The capital of Australia is Sydney. Wolves howl more when the full moon is visible. Outer space is a vacuum, entirely empty of matter. Touching toads can cause warts. The Morse code distress signal “SOS” stands for “Save Our Ship”. Cell phones connect to satellites to make phone calls. Caffeine stunts growth in children. Penguins mate for life. Touching a baby bird will cause the mother bird to reject it. The fruit “orange” was named after the color “orange”. Napoleon Bonaparte was shorter than average. During the Middle Ages, few people lived past age 35. The average lifespan of a housefly is 24 hours. Skin wrinkles underwater because water is absorbed into the pores. Sunflowers turn to track the sun across the sky. There are more humans alive today than have ever lived in the history of Earth. Benjamin Franklin suggested that a wild turkey be the symbol of the USA. Fortune cookies were invented in China. A shot of espresso contains more caffeine than a cup of drip coffee. Bathroom door handles have high concentrations of bacteria. Turkey makes you tired because the meat has higher levels of tryptophan than other meats. In the Southern Hemisphere, toilets flush in the opposite direction because of the Coriolis effect. Distilled water is an excellent conductor of electricity. Reading in low light hurts vision. Glass is a slow-moving liquid. Getting rust in a cut causes tetanus. Poinsettia flowers are poisonous. Hot-air hand dryers are more sanitary than paper towels. Sneezes travel at 100 miles per hour. Cockroaches can survive a nuclear blast. A duck’s quack does not echo. Quicksand causes victims to sink. Coffee reduces the influence of alcohol. Breath mints and mouthwash prevent breathalyzers from detecting alcohol. Sharks do not suffer from cancer. Antibiotics kill viruses, like the flu. Diamonds are formed when coal undergoes high pressure. FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE  Supplemental Material: RWA IS NEGATIVELY RELATED TO BELIEF UPDATING 3 A Geiger Counter is used to detect radiation. TRUE Spinach is high in iron. TRUE The giraffe is the tallest mammal. TRUE The chemical formula for water is H20. TRUE The Harry Potter book series is the best-selling series of all time. TRUE Spiders have eight legs. TRUE Celery is a negative-calorie food because it takes more energy to digest than it provides. TRUE Blue whales are mammals. TRUE The cheetah can run faster than any other animal. TRUE There are eight planets in the solar system. TRUE The Declaration of Independence was signed in 1776. TRUE On average, cats live longer than dogs. TRUE Mixing bleach and ammonia is dangerous. TRUE On hot days, it is possible to fry an egg on a sidewalk. TRUE Humans can only survive 3-4 days without water. TRUE The first President of the United States of America was George Washington. TRUE Sun exposure lightens hair color. TRUE Citrus fruits are high in Vitamin C. TRUE Washington, D.C. is the capital of the USA. TRUE The USA was originally 13 British colonies. TRUE Every state in the USA elects two Senators. TRUE A marathon is a 26.2 mile run. TRUE Electrons are negatively-charged ions. TRUE Texas is larger in size than Hawaii. TRUE Most humans alive today have never made a phone call. TRUE Adding Viagra to water makes flowers stand up straight. TRUE The average cloud weighs over a million pounds. TRUE The closest living relative to the dinosaur Tyrannosaurus Rex is the chicken. TRUE Glass balls bounce higher than rubber balls. TRUE Venus is the planet closest to Earth. TRUE Violins have four strings. TRUE The Japanese national flag has a red circle in the center. TRUE Elephant tusks are made of ivory. TRUE The human heart has four chambers. TRUE Sharks are fish, not mammals. TRUE Fingernails are made of keratin. TRUE The ozone layer in the atmosphere absorbs ultraviolet light from the sun. TRUE The kiwi bird cannot fly. TRUE Caterpillars grow and develop into butterflies. TRUE Giant Pandas eat bamboo. TRUE If you are paying attention, select ""True"" and set your confidence rating at 70. TRUE",20;NA;10;10,120;NA;60;60,US,en,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,NA,NA,NA,NA,Binary,MetaCognitive,NA,ThinkingStyle,"Not entirely sure which key correlate to select, measure would fit under more than one",NA,Receptiveness to Opposing Views,Yes,
Believing in nothing and believing in everything,NA,Christiane,19/07/2023 01:26:25,"Newman, D., Lewandowsky, S., & Mayo, R. (2022). Believing in nothing and believing in everything: The underlying cognitive paradox of anti-COVID-19 vaccine attitudes. Personality and Individual Differences, 189, 111522.","Measures presence of cognitive paradox of simultaneously believing known facts less and new, “alternative facts”",2022,https://doi.org/10.1016/j.paid.2022.111522,(Under EXP_4_T-F) https://osf.io/25ezv,"False (Alternative facts): All animals can adapt to the changing environment. Smoking can be beneficial to your health. Fossil fuels cannot run out as they can regenerate naturally. Women always had the right to vote, they abstained from doing for diverse reasons.  All apples in the grocery stores are clones of each other, flavored and colored differently to increase sales. There is an abundance of gold, being deliberately withheld. Desalinated water is recycled sewage water renamed in order to not deter people from using them.   Earth can change its rotation direction and can flip its axis and we will never notice it. All “Crashes” of the stock market are planned in advance in order to lower stock prices.  News channels report mostly bad news to drive up antidepressants sales. True equivalents:   Animals are going extinct all the time. Smoking is harmful for one's health. Reserves of fossil fuels deplete the more prevalently they are used. The 19th Amendment to the U.S. Constitution granted women the right to vote following widespread protests.  There are many types of apples that vary by flavor, color and genetic makeup.  Gold is a limited resource mined from the earth.  Desalinated water results from the process of removing salt from seawater. Earth rotates eastward around its own axis, completing a full rotation once in about 24 hours. A planed stock market crash is a felony. We are drawn to negative news, which is why it seems that that's all that is being reported.",NA,10,US,en,No,Yes,No,Yes,NA,NA,No,No,Yes,No,No,NA,NA,NA,NA,NA,Scale,KnowOther,NA,,,NA,Knowledge Test,Yes,
